15.641,57.3558
16.6667,62.7404
18.9744,67.3678
22.0513,71.2139
25.3846,72.7524
28.4615,71.2139
31.5385,68.137
33.8462,64.6755
35.641,60.8293
37.9487,58.5216
39.2308,62.3678
40.7692,65.8293
43.5897,69.6755
46.6667,71.9832
50.2564,72.7524
54.6154,70.0601
56.6667,66.5986
57.4359,63.9063
58.4615,58.9063
58.7179,53.5216
58.2051,47.3678
56.9231,44.2909
54.359,38.9063
51.7949,32.7524
47.1795,27.7524
42.8205,22.3678
39.2308,17.3678
44.8718,25.0601
48.9744,30.4447
15.641,53.5216
15.8974,49.6755
18.2051,45.0601
20.2564,40.4447
22.3077,35.8293
24.359,33.5216
26.4103,31.2139
27.4359,28.9063
28.7179,26.9832
31.0256,23.5216
33.0769,21.2139
35.8974,18.5216
