,x,y
0,39.27124272028431,71.27285486863269
1,34.28904203904988,67.57543640081911
2,39.59103232490975,71.73296469434428
3,46.91165833539812,74.81416016094855
4,47.85900063038576,75.16191011477757
5,46.37220259495337,74.57158275782929
6,48.680701615180126,75.52062059798021
7,52.00727788049414,76.1626391743963
8,49.91769139918326,75.54714890982258
9,60.606524895207954,74.77391018722942
10,55.47951622002034,75.70782118214751
11,59.22151739920055,74.95191560563799
12,59.167789953607766,75.46143463812605
13,67.53089995119454,72.57461911234518
14,63.944781180351875,74.17719012678752
15,36.53006755491832,69.33670366674463
16,35.01531132890695,68.18470953361458
17,36.24459119487204,69.42909339549391
18,35.08132536100946,68.20246983592571
19,32.13687863202931,65.30950709763508
20,31.048401698162387,63.050963371371544
21,38.2867998187681,70.97396396398037
22,39.98783453527716,71.99799220486547
23,39.72819437911132,71.86814046576153
24,39.06145653869769,71.30353510729093
25,36.706565850595034,69.97632691669529
26,33.31946687189818,66.5126306595931
27,32.27064046566033,65.09164920620378
28,38.405635053125565,70.85607133820557
29,39.3935171518404,71.61922554472007
30,36.4424473358794,69.11085216865857
31,34.28031095124934,67.61272306496174
32,43.382638731616005,73.66459925393656
33,43.07386465983759,73.54354868664187
34,41.88129656917459,72.65382196053729
35,49.34957832386257,75.3488425891554
36,44.61655855612427,73.7861965263377
37,44.11181065918618,73.95098108555342
38,42.899714884007196,73.55329476269387
39,48.27556613721465,74.99347971613376
40,43.39694877197352,73.67664957207074
41,47.76787312014608,74.89661799505778
42,49.239848023371486,75.35351931631659
43,48.75475717070851,75.28702193542173
44,51.693125374867456,76.08326088868819
45,53.421153583885264,76.06608226844558
46,61.43476057899588,74.84000440259615
47,32.99775226308979,66.12297881561776
48,28.46441993403787,58.584956264852785
49,29.508518217182317,60.96728110528215
50,26.726505564324896,52.747932081498476
51,29.407911038360222,35.703191307891906
52,27.11056976544342,40.18595314476184
53,32.31062099635682,30.440544786349385
54,39.83633433028053,23.631587571984653
55,43.24830518213742,22.060726692428794
56,46.91538713168123,20.613222215851415
57,66.23493549692589,22.495247539956626
58,67.4154212815641,22.813819565233917
59,50.53501578571678,75.59506895355675
60,54.74843077103231,75.70395264411512
61,54.23876497961411,75.84772401451724
62,42.607835142674304,73.50107387478468
63,37.049428066989044,69.57325219233849
64,34.55196221143685,67.40649508617417
65,30.806148095003294,62.73975424131891
66,29.249912893926506,60.5970975661129
67,28.51921742609973,58.6088808458277
68,28.785008607539535,36.73365427922744
69,30.170254108667454,33.53198157161193
70,28.468377653244637,36.333334756561165
71,37.03390612257636,69.93176507326952
72,37.74749565640118,70.5086255581725
73,36.22405319255222,69.74645969045585
74,33.57284799810584,66.4855549751358
75,31.636561945999723,64.57491855782906
76,32.04620011234388,30.71528409344448
77,31.515642893880308,31.812883825435467
78,30.858970090062332,32.71865951660601
79,28.789313827865158,35.83281170012386
80,34.113150156461806,28.110107463015733
81,33.90008776796926,28.724016884717287
82,47.195456746601344,20.556738229531327
83,56.469691416776904,20.20566545597745
84,35.50576571410074,27.187671027059118
85,36.279143768543925,26.248065854424272
86,39.237978582287056,24.262020979544182
87,46.103467747014406,20.80596786695867
88,44.77970119832376,21.291501783048208
89,44.09735233278766,21.667694057644088
90,54.164833962021625,19.65431693780993
91,51.69485263905313,20.061718308862623
92,62.85534314572774,21.179717866369316
93,70.9293202683537,25.303962912373944
94,68.39800478594938,23.60723608537607
95,66.35483210227393,22.87813749943125
96,70.46728884135032,25.046505581476215
97,64.50229494268953,21.584713601268216
